제목,기사 내용
"'쇼핑몰 수천억 매출' 여에스더, 식약처 前 과장에 '고발' 당했다…무슨 일?","viewer 여에스더. 연합뉴스

< 저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지 >

건강기능식품 쇼핑몰을 운영하며 수천억원의 매출을 올린 유명 의사 여에스더씨가 식품의약품안전처 전직 과장으로부터 고발당했다.서울 강남경찰서는 유명 가정의학과 전문의이자 방송인인 여씨를 대상으로 한 고발장이 지난달 접수돼 수사에 착수했다고 3일 밝혔다.여씨는 자사 온라인 홈페이지에서 판매하는 제품을 광고하며 식품표시광고법을 위반한 혐의를 받고 있다.여씨를 고발한 식약처 전직 과장 A씨는 “여씨가 의사 신분을 이용해 소비자를 속이고 있다”고 주장했다.A씨의 주요 고발 사유는 여씨가 판매하는 상품의 허위·과장 광고다. A씨가 주장하는 여씨의 위반 사항은 식품표시광고법 8조 1~5항 내용이다.해당 법률은 △질병의 예방·치료에 효능이 있는 것으로 인식할 우려가 있는 표시 또는 광고(8조 1항) △식품 등을 의약품으로 인식할 우려가 있는 표시 또는 광고(8조 2항) △건강기능식품이 아닌 것을 건강기능식품으로 인식할 우려가 있는 표시 또는 광고(8조 3항) △거짓·과장된 표시 또는 광고(8조 4항) 등을 금지하고 있다.여씨가 온라인몰에서 판매하는 400여 개 상품 중 절반 이상이 해당 법률을 위반했다는 게 A씨의 주장이다.A씨는 “현직에 있을 때 해당 법안 개정에 참여하고 위반 업체들을 단속했으나 아직까지 근절되지 않고 있다”며 “특히 의사 신분을 활용하는 것은 큰 문제라고 여겨 공익을 위해 고발했다”고 밝혔다.금융감독원 전자공시시스템에 따르면 여씨가 대표인 ㈜에스더포뮬러의 지난해 매출은 2016억3961만원으로 2019년(373억4214만원) 대비 439% 증가했다.여씨 측은 A씨가 주장한 내용을 반박했다. 온라인 쇼핑몰 에스더몰의 관계자는 “진행 중인 광고는 모두 한국건강기능식품협회 심의를 통과한 내용만을 사용하는 것이기 때문에 허위·과장 광고로 볼 수 없다”면서 “식약처와 건강기능식품협회의 해석이 모두 일치하지는 않아 허위·과장광고 여부는 해석하는 바에 따라 달라질 수 있다”고 설명했다."
대구운전면허시험장 외국인 상담 창구 '호응',"재생/일시중지 전환

스페이스 바

10초 이전/다음으로 이동

방향키 왼쪽/오른쪽

볼륨조절

방향키 위/아래

음소거

M

전체화면

F

[앵커]

국내에 거주하는 외국인들이 운전 면허를 따는 데

가장 큰 어려움이 의사 소통 문젭니다.



전국에서 처음으로 대구운전면허시험장에

영어와 중국어, 베트남어로 상담이 가능한

전용 창구가 문을 열어 좋은 반응을 얻고 있습니다.



김낙성 기자가 다녀왔습니다.



[기자]

베트남에서 유학 온 대학생 쩐바오끄엉 씨는

최근 한국 운전면허증을 발급받았습니다.



언어 문제로 걱정이 많았지만

대구운전면허시험장에서 운영하는

외국인 전용 상담 창구 덕을 톡톡히 봤습니다.



시험 요령은 물론 교통 법규 등을 자세히

베트남어로 안내받아 비교적 쉽게 면허를 땄습니다.



[쩐바오끄엉 / 경북대 유학생]

""(같은 베트남 사람한테) 상담을 받아서 이해가 쉽고 시험에 대해서 잘 설명해주셔서 도움이 많이 됐습니다.""



우즈베키스탄 운전면허증을 한국 면허증으로 교체하러 온 잠시드 씨도

전용 상담 창구 도움으로

손쉽게 업무를 마칠 수 있었습니다.



[잠시드 / 우즈베키스탄인 근로자]

""어떻게 하고 어디에 가면 뭐가 필요한지 그런 걸 다 알려 주시고 어디로 가는지 다 보여 주시고 그런 것까지 편하게 잘 알려 주셔서 도움 많이 됐어요.""



[C.G]

올들어 11월까지 대구에서 외국인 면허 발급 건수는 천 584건으로 이미 지난 한해 천 5건을 훨씬 넘어섰습니다. //



이처럼 외국인 면허 발급이 급증하는 상황에서

대구운전면허시험장과 강북경찰서, 북구가족센터가

전국 최초로 전용 상담 창구를 개설했습니다.



매주 금요일 오전 9시부터 12시까지

영어와 중국어, 베트남어로 상담이 가능한데

지난 9월 문을 연 뒤 현재까지 140여 건의 상담이 이뤄졌습니다.



[노유진 / 대구운전면허시험장 단장]

""(외국인들도) 우리 한국인들처럼 똑같이 법규라든지 이런 걸 충분히 이해한 상태에서 면허가 취득이 돼야 된다, 그래야지 좀 더 안전한 대구가 만들어지지 않겠느냐는 생각으로 (개설했습니다.)""



대구에 처음 문을 연 외국인 전용 상담 창구가

면허취득 기회 확대는 물론 안전한 교통문화 정착에

한 몫을 하고 있습니다.

TBC 김낙성입니다.

(영상취재:권기현 C.G:김유진)

■ 제보하기

▷ 전화 : 053-760-2000 / 010-9700-5656

▷ 이메일 : tbcjebo@tbc.co.kr

▷ 뉴스홈페이지 : www.tbc.co.kr"
"""허위·과장 광고"" 여에스더 고발한 전직 식약처 과장","""해당 법안 개정 참여…근절 안 돼 공익 신고""

여씨측 ""건기식협회 심의 통과한 내용만 사용""

건강기능식품 쇼핑몰을 운영하며 수천억원대 매출을 올린 유명 의사 여에스더 씨가 전직 식품의약품안전처 과장에게 고발당했다.

3일 한국경제신문에 따르면 서울 강남경찰서는 여 씨가 운영하는 온라인 홈페이지에서 판매하는 제품에 대한 허위·과장 광고 신고가 들어와 식품표시광고법 위반 혐의로 수사에 들어갔다.

'2020 올해의 브랜드 대상'시상식에 참석한 여에스더[사진＝연합뉴스] AD 원본보기 아이콘

전 식약처 과장인 고발인 A씨는 여 씨가 온라인몰에서 판매하는 400여 개 상품 중 절반 이상이 식품표시광고법 8조 1~5항을 위반했다고 주장하고 있다. 여 씨가 확인되지 않은 내용을 바탕으로 질병을 예방하거나 치료할 수 있다는 식의 광고를 하고 있다는 게 주 내용이다.

A씨가 근거로든 해당 법률은 ▲질병의 예방·치료에 효능이 있는 것으로 인식할 우려가 있는 표시 또는 광고(8조 1항) ▲식품 등을 의약품으로 인식할 우려가 있는 표시 또는 광고(8조 2항) ▲건강기능식품이 아닌 것을 건강기능식품으로 인식할 우려가 있는 표시 또는 광고(8조 3항) ▲거짓·과장된 표시 또는 광고(8조 4항) 등을 금지하고 있다.

A씨는 ""여 씨가 의사 신분을 이용해 소비자를 속이고 있다""며 ""현직에 있을 때 해당 법안 개정에 참여하고 위반 업체들을 단속했으나 아직 근절되지 않고 있다. 특히 의사 신분을 활용하는 것은 큰 문제라고 여겨 공익을 위해 고발했다""고 전했다.

여 씨 측은 A씨의 주장에 즉각 반박했다. 한국경제에 따르면 온라인 쇼핑몰 에스더몰의 관계자는 ""진행 중인 광고는 모두 한국건강기능식품협회 심의를 통과한 내용만을 사용한 것이기 때문에 허위·과장 광고로 볼 수 없다""며 ""식약처와 건강기능식품협회의 해석이 모두 일치하지 않아 허위·과장 광고 여부는 해석하는 바에 따라 달라질 수 있다""고 밝혔다.

한편, 예방의학박사 여 씨가 대표로 경영하고 있는 ㈜에스더포뮬러의 지난해 매출은 2016억 3961만원으로 2019년(373억 4214만원) 대비 439% 증가했다.





이소진 기자 adsurdism@asiae.co.kr

"
태양광LED 위치 안내표지판 추가 설치,"시-서부경찰 협업, 범죄 예방 효과

빌라촌, 인근 공원 등 조도 확보도

﻿김해시 삼문동에 태양광LED 위치 안내표지판이 설치 돼 있다.

김해시(시장 홍태용)는 안전한 여성친화도시 조성을 위한 2023년 태양광LED 위치 안내표지판을 삼문로43번길 22 등 야간 취약지역 5곳에 설치했다고 밝혔다.

이번 태양광LED 위치 안내표지판은 김해서부경찰서와 협업으로 취약지역 7곳을 우선 추천받은 후, 여성친화도시 시민참여단의 사전 모니터링을 지난달 1일부터 3일까지 실시한 후 최종 5곳을 선정해 설치하게 됐다.

시민참여단의 모니터링 결과 대로변의 차량 통행이 잦은 곳보다는 빌라촌 인근 공원 등 야간 조도 확보가 어려운 장소를 위주로 선정했고, 설치 완료에 따라 민·관·경이 함께 사후 모니터링을 이달 중에 실시할 예정이다.

태양광LED 위치 안내표지판 설치 사업은 안심귀갓길 조성을 위해 2022년 김해중·서부경찰서와 협력으로 구지로 157 등 20개 지역에 설치했고 올해 5개소를 추가로 설치해 총 25개소에 운영 중이다. 태양광LED 위치 안내표지판은 야간 취약지역을 대상으로 안전한 보행환경을 조성하기 위해 추진 중이다.

여성가족과 관계자는 ""여성친화도시 조성과 관련해 어두운 환경을 개선해 범죄를 예방하고, 시민의 안전에 대한 체감도 향상을 위해 태양광LED 위치 안내표지판을 비롯한 안전증진 사업을 추진하겠다""고 말했다."
'2023 세종 빛 축제' 민·관 합동안전챙긴다,"[농수축산신문=박나라 기자]

세종특별자치시(시장 최민호)는 안전한 ‘2023년 세종 빛 축제’를 위해 지난 1일 이응다리와 수변공원 일원에서 유관기관, 민간 전문가와 사전 현장 합동점검을 실시했다.

2일 빛축제가 열릴 이응다리 야경

이번 점검에서는 세종소방서, 세종남부경찰서 등 유관기관과 안전관리자문단 등 민간 자문가가 참여해 시설물, 전기, 교통, 소방 등의 분야별 안전성 여부를 중점적으로 확인했다.

합동 점검반은 지역축제 안전관리계획을 근거로 관람객 이동동선, 화재 예방, 무대시설물 및 취약시설에 대한 집중 점검을 실시했다.

조수창 시민안전실장은 “2023 세종 빛 축제는 위험요소가 많은 동절기와 야간에 개최되는 지역축제”라며 “철저한 현장통제와 상황관리로 시민이 안전하게 축제를 즐길 수 있도록 하겠다”고 말했다."
[제16회 진해마라톤대회 건강달리기] 추위야 물렀거라~ 해군 영내서 달림이들...,"바람 없는 햇살 아래 환상코스 만끽

가족 단위 참가자들 ‘추억 만들기’

해군 의장대 공연에 ‘멋있다’ 연발

피조개·어묵 시식 등 먹거리 풍성

텔레비전·청소기 등 경품 추첨도





해군과 함께하는 제16회 진해마라톤대회 5㎞ 건강달리기가 지난 2일 창원시 진해구 일원에서 열렸다.

이 대회는 경남신문 주최, 진해마라톤조직위원회 주관으로 열렸으며, 창원특례시·해군 진해기지사령부·BNK경남은행·경남체육회·부영그룹·(사)중소기업융합경남연합회가 후원했다.

이날 건강달리기가 열린 진해공설운동장과 해군 영내 일원은 바람이 거의 불지 않아 영상 0~2도 기온이 무색할 만큼 햇살 아래에서는 따뜻한 느낌도 들었다.

전국에서 유일하게 해군 영내를 달릴 수 있는 건강달리기에 참가한 달림이들은 오전 8시부터 진해공설운동장으로 모이기 시작했다. 주말을 맞아 가족 단위의 달림이들이 눈에 띄었다. 해군의 지원으로 마련된 ‘이나비와 해병이가 함께 하는 포토존’에는 개회식 전부터 달림이들이 몰려들었으며 오전 11시까지 사진 행렬이 이어지기도 했다.



해군과 함께하는 제16회 진해마라톤대회 5㎞ 건강달리기 참가자들이 2일 창원시 진해공설운동장에서 출발하고 있다. 해군과 함께하는 제16회 진해마라톤대회 5㎞ 건강달리기 참가자들이 2일 창원시 진해공설운동장에서 출발하고 있다.

오전 8시 40분 막이 오른 해군 의장대의 공연은 달림이들의 눈을 사로잡았다. 해군의 절도와 패기를 드러낸 의장대 공연이 시작되자 달림이들은 저마다 휴대폰을 꺼내들고 사진을 찍고 영상을 담으며 아낌없는 박수와 함께 ‘멋있다’는 말을 연발했다.



해군의장대가 총 돌리기 축하공연을 절도있게 하고 있다. 해군의장대가 총 돌리기 축하공연을 절도있게 하고 있다.

메리트 무용단의 식전 공연에 이어 개회식은 오전 9시 시작됐다. 남길우 경남신문 회장은 “선수 여러분들이 성공적인 마라톤 축제의 주인공이 될 수 있도록 즐겁게 달리시고, 안전사고에도 유의해주시기 바란다. 해군 영내의 정취를 벗삼아 잊지 못할 아름다운 추억의 한 페이지를 장식하길 기원한다”고 밝혔다.



홍남표 창원특례시장, 김태훈 해군 진해기지사령관, 이달곤 창원 진해구 국회의원, 남길우 경남신문 회장 등이 출발 신호를 보낸 후 인사하고 있다. 홍남표 창원특례시장, 김태훈 해군 진해기지사령관, 이달곤 창원 진해구 국회의원, 남길우 경남신문 회장 등이 출발 신호를 보낸 후 인사하고 있다.

행운권 추첨에서는 달림이들의 환호성과 탄식이 엇갈렸다. LG A9무선청소기, LG 공기청정기, LG 가습기, LG 43인치 텔레비전이 행운의 주인공 품에 안겼다. 텔레비전을 받게 된 최현애(37)씨는 “지난해에 이어 남편과 같이 대회에 참가했는데 생각지도 못한 행운이 찾아왔다”고 기뻐했다.

출발에 앞서 김종현 한국인명구조협회장의 안전레이스 안내도 있었다. 대회 코스는 진해공설운동장을 출발해 도천초등학교를 지나 해군1정문에 들어선 후 정통단 입구 반환점을 돌아 진해공설운동장으로 돌아오는 구간으로 마련됐다.

주로에는 창원소방본부, 연세에스병원, 진해세광병원 의료진이 달림이들의 완주를 지원했다. 진해경찰서와 진해모범운전자회, 진해해병전우회가 교통 질서를 안내했으며, 한국아마추어무선연맹 경남본부 통신봉사단과 한국인명구조협회 CPR팀이 응급 상황에 대비했다. 해군 영내에서는 해군 구급차와 해군 안내 장병들이 안전한 대회를 지원했다.



참가자들이 손을 잡고 결승선을 통과하고 있다. 참가자들이 손을 잡고 결승선을 통과하고 있다.



해맑은 어린이 참가자가 신나게 달리고 있다. 해맑은 어린이 참가자가 신나게 달리고 있다.

진해수협은 무료 먹걸리 부스에서 창원 진해구의 특산물인 ‘피조개 무침’ 요리 세트와 어묵탕을 준비했다. 10시 40분에는 엠제이 댄스 스튜디오의 댄스 공연과 함께 2차 경품추첨이 진행돼 에어프라이어, 전기포트, 진해 수산특산물인 피조개 등을 나눠줬다.



수산물 소비촉진을 위한 진해 피조개 무료시식장에서 초밥과 삼겹불고기를 나누고 있다. 수산물 소비촉진을 위한 진해 피조개 무료시식장에서 초밥과 삼겹불고기를 나누고 있다.



참가자가 경남신문 포토존에서 기념촬영을 하고 있다. 참가자가 경남신문 포토존에서 기념촬영을 하고 있다.

이날 개회식에는 홍남표 창원특례시장, 김태훈 해군 진해기지사령관, 이달곤 창원 진해구 국회의원, 박동철·박춘덕 경남도의원, 김상현·심영석·이해련·정순욱 창원시의원, 조일암 진해구청장, 김영호 진해경찰서장, 김일용 진해수협 조합장, 경남신문 남길우 회장과 김진현 전무이사 등이 참석했다. 김태훈 제독과 황기철 전 국가보훈처장(전 해군참모총장)은 달림이들과 5㎞ 코스를 함께 뛰었다.

◇ 이모저모

어른 넷 아이 다섯 “우리는 이웃사촌”





○… 부담이 없는 건강달리기여서 올해도 가족 단위 참가자들이 많아. 3남매를 데리고 온 양회일(38)·이은정(39)씨 가족과 어린 두 자매를 껴안은 이대정(45)·김연희(39)씨 가족은 완주를 목표로 이웃 사촌끼리 참가. 양씨는 “아침에는 추웠는데 준비운동을 하고 분위기가 고조되니 따뜻하다”며 “좋은 추억을 남기고 갈 수 있을 것 같아 기대가 된다”고 말해. 이씨는 “지칠 때 쉬었다 가기도 하면 충분히 완주할 수 있을 것 같다”며 “부모 파워를 발휘해야 될 것 같다”고 밝혀. 이씨의 딸 도연(9)양은 “지치면 아빠한테 업어달라고 할 것”이라고 해 주변 사람들에게 웃음을 주기도.

해병대원 3인방, 빨간 체육복 ‘눈길’





○… 어두운 색의 패딩과 운동복 사이로 유독 시선을 사로잡은 복장은 빨간색 체육복을 입은 3명의 남성. 진해기지사령부 육상경비대대 소속 해병대원인 양승용(22) 상병과 김승민(21) 상병, 김민욱(20) 일병이 그 주인공. 등에 ‘해병대’라고 적힌 체육복을 입은 이들은 “최근 젊은 사람들 사이에서 마라톤이 유행하고 있는데, 이번이 좋은 기회인 것 같아 참여했다”고 얘기. 이들은 ‘지치지 않는 완주’를 하겠다며 출발 신호와 함께 힘차게 달려나가.

단골 달림이 이상엽씨 “10㎞ 부활 바람”

○… 이상엽(26)씨는 대학 선배와 함께 참가. 그는 “해군 영내를 달리는 특별한 달리기 코스여서 매년 참가하고 있다”고 말해. 그의 소박한 바람이 있다면 내년 10㎞ 코스도 부활하는 것. 그는 “5㎞ 코스는 뭔가 아쉬움 느낌이 든다”고 덧붙여.

/마라톤 취재반/

문화체육부= 권태영·어태희 기자

사진영상부= 김승권 기자"
포항북부경찰서음주운전·교통법규위반 단속 강화,SNS 기사보내기 카카오스토리(으)로 기사보내기 카카오톡(으)로 기사보내기 구글+(으)로 기사보내기 네이버밴드(으)로 기사보내기 URL복사(으)로 기사보내기 이메일(으)로 기사보내기 다른 공유 찾기 기사스크랩하기
"포항북부소방서, 다수사상자 발생대비 구급대응훈련 실시",SNS 기사보내기 카카오스토리(으)로 기사보내기 카카오톡(으)로 기사보내기 구글+(으)로 기사보내기 네이버밴드(으)로 기사보내기 URL복사(으)로 기사보내기 이메일(으)로 기사보내기 다른 공유 찾기 기사스크랩하기
"봉화군, '겨울철 제설종합대책' 추진 총력!",SNS 기사보내기 카카오스토리(으)로 기사보내기 카카오톡(으)로 기사보내기 구글+(으)로 기사보내기 네이버밴드(으)로 기사보내기 URL복사(으)로 기사보내기 이메일(으)로 기사보내기 다른 공유 찾기 기사스크랩하기
서울 심야 자율주행버스 4일 시동,"합정역~동대문역 무료 ‘A21번’ 70분 간격 운행

심야 시간에 운행하는 자율주행버스가 이달부터 서울 도심에서 시민을 나른다. 서울시는 안전성 검증을 거쳐 향후 심야 자율주행버스 운행을 확대할 방침이다.



서울시는 4일 심야시간부터 심야 전용 자율주행버스 운행을 시작한다고 3일 밝혔다. 서울시에 따르면 심야에 자율주행버스를 정기 운행하는 것은 세계 첫 사례다.



자율주행버스는 합정역~동대문역 9.8㎞ 구간 중앙버스전용차로를 순환할 예정이다. 총 2대가 투입되며, 노선번호는 A21번이다. 정류소는 편도 20개로, 총 40개 정류소에 정차한다. 오후 11시30분부터 다음날 오전 5시10분까지 70분 배차간격으로 운행한다. 주말에는 운행하지 않는다.



시민들은 일반 심야버스와 똑같이 자율주행버스를 이용할 수 있다. 중앙버스정류소에서 탑승할 수 있고, 버스정보안내단말기에 실시간 도착 정보가 제공된다.



서울시는 당분간 요금을 무료로 운행할 예정이지만 탑승 시 교통카드 태그는 해야 한다. 다른 대중교통 연결 시 환승할인이 적용되지 않는 등 불이익이 발생할 수 있기 때문이다.



서울시는 운행이 안정화되면 내년 상반기에 탑승요금을 유료로 전환할 계획이다. 다만 일반 심야버스 요금인 2500원보다는 낮은 수준으로 책정한다는 방침이다. 요금은 서울시 자율차 운영위원회 심의를 거쳐 확정될 예정이다.



안전사고 예방을 위해 전 좌석에는 안전벨트가 설치되고 입석은 금지된다. 취객이 탑승할 경우에는 버스가 와전히 멈춘 후 하차할 수 있도록 특별안전요원 1명이 승객을 관리한다.



시험운전자도 1명 탑승한다. 운행구간 인근 소방서·경찰서와도 심야 긴급연락체계를 구축했다.



서울시는 내년에 청량리역까지 운행구간을 늘려 총 13.2㎞ 노선에 심야 자율주행버스를 투입할 예정이다. 운행이 안정화되면 도심과 시 외곽을 연결하는 장거리 운행에도 자율주행버스를 투입해 정규 노선으로 편성한다는 방침이다.

"
