제목,기사 내용
"서산시, 보행안전릴레이 캠페인 추진","서산시는 10일 2023년 보행안전주간을 맞아 서산여자고등학교 보행자 우선도로에서 서산교육지원청, 서산경찰서와 함께 보행안전 릴레이 캠페인을 가졌다. 사진은 보행안전 릴레이 캠페인 모습.

서산시는 10일 2023년 보행안전주간을 맞아 서산여자고등학교 보행자 우선도로에서 서산교육지원청, 서산경찰서와 함께 보행안전 릴레이 캠페인을 가졌다.이번 캠페인은 행정안전부에서 이달 6일부터 12일까지를 보행안전주간으로 지정 운영함에 따라 보행자 중심의 교통안전 문화를 조성하기 위해 추진됐다.이날 도로과장, 수석동장, 서산경찰서 경비교통계장, 서산여고 교장 등 10여 명의 참여자들은 학생들과 지역 주민에게 홍보 리플렛과 기념품을 배부하며 보행자 우선도로와 보행자 안전 수칙 등을 홍보했다.보행자 우선도로란 보행자는 도로의 전 부분으로 통행할 수 있지만, 운전자는 서행 일시정지 등 각종 보행자 보호 의무가 부여된다.운전자가 보행자 우선도로에서 보행자 보호 의무를 불이행하였을 경우 4만 원의 범칙금과 발점 10점의 처분을 받을 수 있다.보행자의 안전수칙은 ▲무단횡단 하지 않기 ▲우측으로 보행하기 ▲보행 중 휴대폰 이어폰 사용하지 않기 ▲골목길에서 주의하며 걷기 등 4가지가 있다.이종민 도로과장은 ""보행자가 안심하게 걸을 수 있도록 노인. 어린이 보호구역을 포함해 관내 보행자 우선도로 제도를 지속적으로 홍보할 것""이라며 ""보행 안전 문화를 확산을 위해 시민분들께서도 적극적으로 동참해달라""라고 말했다.한편, 올해 서산시는 보행자의 안전을 위해 32억을 투자해 어린이?노인 보호구역 개선사업, 안전한 보행환경 개선사업, 교통약자를 위한 보도 정비사업 등을 추진했으며, 내년에도 안전한 보행환경을 위해 약 35억 원을 투자할 계획이다.서산=임붕순 기자

중도일보(www.joongdo.co.kr), 무단전재 및 수집, 재배포 금지"
포항시 골목길 탈바꿈…시민안전안심거리 주민 '호평',"안심등·포토존 설치 등 안전한 등굣길 학생과 학부모 호응

경찰 등과 협력 강화해 우리동네 안전지킴이 프로젝트 확산

용흥동 서산터널 인근 지하도가 도색 등을 통해 안심도로로 탈바꿈한 모습.

용흥동 서산터널 인근 지하도가 도색 등을 통해 안심도로로 탈바꿈한 모습.

연일 유강리 골목길 바닥에 로고젝터로 표현된 안전 관련 문구.

저작권자 © 경북일보 - 굿데이 굿뉴스 무단전재 및 재배포 금지

곽성일 기자 kwak@kyongbuk.com kwak@kyongbuk.com 행정사회부 데스크

포항시는 시민 안전을 위해 용흥동과 연일읍 유강지역에 조성한 ‘시민안전 안심거리’가 주민들의 호평을 받고 있다고 11일 밝혔다.최근 여성과 아동을 대상으로 한 강력범죄가 증가하고 범죄예방에 대한 요구가 높아짐에 따라 시는 시민들의 안전을 확보하고 행복지수를 높이기 위한 안심공간 조성에 행정력을 집중하고 있다.이에 시는 범죄예방환경설계(CPTED)의 하나로 안심거리 사업을 추진, 주민 수요와 시급성을 고려하고 경찰과의 긴밀한 협력을 통해 용흥동과 연일 유강리 일원에 시민 체감형 안전특화 공간인 ‘시민안전 안심거리’를 조성했다.용흥동 쌍용아파트와 서산터널 사이의 지하도는 학생들의 통학로와 주민들의 주 진출입로로 활용되지만, 내부도색이 노후화되고 희미한 조명 등으로 주변 일대가 삭막해 시민 불안감이 높았던 공간이었다.이에 시는 입출구에 ‘우리마을 함께지킴 안심거리’라는 터널 사인물(간판)을 설치해 안전도시 포항의 이미지를 시각화했으며, 주민친화형 캐릭터와 내외부 조도 개선 및 도색, 포토존도 설치해 누구나 안심하고 다닐 수 있는 안전공간으로 새롭게 거듭났다.시는 향후 안전펜스를 설치하고, 보도블럭 교체와 주기적인 환경정비 등도 실시해 학생과 주민들이 안전하게 보행하고, 지역 주민들이 친근하게 방문할 수 있는 행복공간으로 조성할 계획이다.또한 연일 유강초등학교와 유강중학교 사이 골목길도 학생과 주민들의 유동량이 많음에도 불구하고 주변에 산과 맹지가 있어 야간조도가 확보되지 않는 등 통행이 어려운 상황이었다. 이를 개선하기 위해 안심등, 로고젝터 등을 설치해 보행자 중심 공간으로 탈바꿈시켜 학생과 학부모 등 시민들의 호평을 받고 있다.시는 안심거리 조성과 함께 ‘우리동네 안전지킴이 프로젝트’도 확산하고 있다. 자율방제단 등 마을 주민과 함께 아동과 여성의 안전한 귀가를 돕고, 서로를 지켜주는 안전커뮤니티를 구성해 지역 주민 간에 자발적으로 안전을 보호할 수 있도록 하고 있다.이와 함께 시는 포항남부경찰서(서장 시진곤), 포항북부경찰서(서장 김한탁)와 협력을 강화해 연말까지 천마산 둘레길, 효자교회 앞, 동빈큰다리 등 4개소를 대상으로 시민안전 CCTV 6대를 우선 설치하고, 향후 안심귀가거리 조성 등 재난안전분야 사업을 확대해 범죄를 예방할 계획이다.이강덕 포항시장은 “시민이 안전하게 안심하고 생활할 수 있는 도시가 진정한 선진도시라고 생각한다”며, “시민 눈높이에서 실질적으로 체감할 수 있는 안전시책을 확대해 행복도가 높은 도시를 조성하는 데 최선을 다하겠다”고 전했다."
'우리 동네가 달라졌어요'…포항시 안심거리 ‘호평’,"1김현정 ""코 보정물 빼고 선해져…돈 떼이고 목사와 결혼"""
"부산시 자치경찰委, 화명생태공원 산책로 내 방범용 CCTV 22대 설치","(부산=국제뉴스) 김옥빈 기자 = 부산시 자치경찰위원회(이하 '위원회')는 행정안전부 특별교부세를 활용, 최근 화명생태공원 주요 산책로 1㎞ 구간 6곳에 방범용 CCTV 22대를 추가 설치했다고 11일 밝혔다.

화명생태공원 방범용CCTV 설치 모습

화명생태공원은 화명신도시와 인접해있고, 축구장‧야구장 등 각종 체육시설이 설치돼 있어, 연간 93만여 명의 이용객이 방문하는 등 시민들의 활용도가 높은 곳이다.

하지만 넓은 면적에 비해 CCTV가 부족하고, 지난해 10월에는 6차례 방화 사건이 발생하는 등 시민들의 불안감도 있어, 방범용 CCTV 증설 필요성이 컸다.

이에 위원회는 북부경찰서, 낙동강관리본부 등 관계기관과의 협업으로 2022년 행정안전부 특별교부세 공모에 참여해 국비 예산을 확보하고, 화명생태공원 방범용 CCTV 설치사업을 추진했다.

위원회는 이번 방범용 CCTV 증설로 화명생태공원을 이용하는 시민들의 불안감을 해소하고, 향후 방화 등 범죄 발생 시 수사 목적으로도 활용할 수 있을 것으로 기대한다. 또 공원 내 경찰‧자율방범대 등 순찰도 강화할 계획이다.

한편 자치경찰위원회는 이번 사업 외에도 행정안전부 특별교부세를 확보해 ▲삼락생태공원 세이프티 존 조성 ▲남산동 복합안전공간 조성 ▲이기대공원 CCTV 설치 ▲민안초 안전한 통학로 개선사업 등 범죄 예방 환경개선(CPTED) 사업을 추진하며, 안전한 부산 만들기에 최선을 다하고 있다."
트렁크에서 짐 빼던 시민...주차된 자신의 차에 깔려 '사망',"경사로에 차량을 주차한 후 트렁크에서 짐을 빼던 중 사고로 사망한 남성의 소식이 전해져 안타까움을 안기고있다.

기사와 무관한 자료 사진 / Flying Camera-shutterstock.com

11일 인천소방본부, 중부경찰서 등에 따르면 전날 오전 10시 30분 인천시 중구 운복동 소재 한 도로에서 50대 남성 A 씨가 차량에 치여 세상을 떠났다.

당시 A 씨는 경사로에 있던 차량 트렁크에서 짐을 내리던 중 변을 당한 것으로 전해졌다.

경찰 등 당국은 A 씨의 차량이 갑자기 뒤로 밀리면서 사고를 당한 것으로 파악, 정확한 사고 경위 등을 조사하고있다.

경찰 측은 사고 차량이 경차로 조사됐다며 주변 폐쇄회로(CCTV) 등 사고 경위 등을 확인하고 있다고 전했다.

경사로에 세워 둔 차량이 미끄러지며 운전자, 보행자를 덮치는 사고는 흔하게 발생한다. 이런 사고를 막기 위해서는 경사로에 차량을 주차할 시 올바르고 안전한 방법으로 주차해야한다.

만약 경사로에 주차를 할 경우 사이드브레이크는 필수로 채워줘야한다. 기어를 P(Parking)에 두는 것 뿐만 아니라 꼭 사이드브레이크를 최대한 당겨 미연의 사고를 방지해야한다.

또 고임목을 이용해 내리막길이라면 앞바퀴 앞쪽, 오르막길이라면 뒷바퀴 뒤쪽에 고정시켜줘야한다.

이어 경사, 연석이 위치한 방향에 따라 핸들을 조정해 바퀴의 방향이 올바른 곳에 향할 수 있도록 조치해야한다."
"이상근 고성군수, '2023 공룡나라그란폰도'안전사고 예방 현장점검","[경남=뉴스프리존]김회경 기자= 이상근 고성군수가 10일 ‘2023 공룡나라그란폰도’ 참가자들의 안전을 위해 대회 현장을 방문, 대회 준비상황을 최종 점검했다.

이상근 고성군수(가운데) ‘2023 공룡나라그란폰도’ 안전사고 예방 현장점검.(사진=고성군)

고성군자전거연맹이 주최∙주관한 ‘2023 공룡나라그란폰도’는 전국 1100여명의 자전거 동호인들과 후원사 등 관계자 200여명이 참여하는 대회로, 고성군에서 최초로 열렸다.

고성군은 지역에서 최초로 행사가 개최되는 만큼 고성경찰서, 고성자전거연맹에서 안전사고 예방을 위해 총력을 다하고 있으며, 10일 경기구간 전체를 최종 확인했다.

특히 이상근 고성군수는 10일 고성군 종합운동장을 찾아 개회식과 선수 출발 시 참가자들의 안전을 위한 안전운영 계획과 화장실, 주차장 등 편의시설을 살폈다.

이상근 군수는 “선수들의 안전을 위해 애써주신 모든 대회 관계자들께 감사의 인사를 드린다”며 “우리 군에서 최초로 개최하는 대회인 만큼 첫째도 안전, 둘째도 안전이다. 모든 참가자들이 결승선을 넘기 전까지 대회 관계자들은 주의를 늦추지 말고 각자 임무에 충실해달라”고 당부했다.

한편 고성군은 지난 9일 경기구간 내 도로파손부분(포트홀) 11곳을 보수하고, 3곳(A=1064㎡, L=200m)에 아스콘(아스팔트 콘크리트) 재포장 공사를 완료했다.

또한 고성군자전거연맹에서는 지난 8일부터 10일까지 3일간 경기구간 곳곳에 안전표지판을 설치하고, 노면청소를 하는 등 안전사고 예방에 총력을 기울였다."
"한성대학교 행정대학원 사회안전학과, 부산해양경찰서방문","(사진제공=부산해양경찰서)

[로이슈 전용모 기자]부산해양경찰서(서장 정영진)는 10일 최천근 한성대학교 행정대학원장 및 사회안전학과 재학생 등 14여명이 관·학 협력을 위해 부산해양경찰서를 방문했다고 11일 밝혔다.한성대학교 대학원 사회안전학과는 각종 사회 및 자연 재난 위기에 신속·정확하게 대응할 전문가를 양성하기 위한 학과로, 특히 ‘사회재난관리’ 전공은 해양경찰 등 정부 및 공공 부문에서 재난을 담당하는 인력을 대상으로 여러 가지 역량을 높이는데 목적을 두고 있는 곳이다.이들은 해양에서의 각종 재난 상황을 살펴보고 안보 분야 협력 강화를 위해 부산해양경찰서를 방문했고, 해양경찰 업무에 대한 이해도뿐만 아니라 해양 안전의 중요성을 알게 되는 뜻깊은 시간을 가졌다고 전했다.정영진 서장은 “해양 재난 전문가 양성을 위해 서로 정보를 공유하고, 나아가 해양 재난의 대비단계부터 대응단계까지 체계적인 시스템을 갖출 수 있도록 상호 협력해 나가길 바란다”고 했다.전용모 로이슈(lawissue) 기자 sisalaw@lawissue.co.kr"
"한성대학교 행정대학원 사회안전학과, 부산해양경찰서방문","10일, 한성대 행정대학원 사회안전학과에서 해양경찰의 업무를 소개받고 있는 모습/제공=부산해경

(부산=국제뉴스) 김옥빈 기자 = 부산해양경찰서는 지난 10일, 최천근 한성대학교 행정대학원장 및 사회안전학과 재학생 등 14명이 관·학 협력을 위해 부산해양경찰서를 방문했다고 11일 밝혔다.

한성대학교 대학원 사회안전학과는 각종 사회 및 자연 재난 위기에 신속·정확하게 대응할 전문가를 양성하기 위한 학과다.

특히 '사회재난관리' 전공은 해양경찰 등 정부 및 공공 부문에서 재난을 담당하는 인력을 대상으로 여러 가지 역량을 높이는 데 목적을 두고 있는 곳이다.

이에 해양에서의 각종 재난 상황을 살펴보고, 안보 분야 협력 강화를 위해 부산해양경찰서를 방문했고, 해양경찰 업무에 대한 이해도뿐만 아니라, 해양 안전의 중요성을 알게 되는 뜻깊은 시간을 가졌다고 전했다.

한성대학교 행정대학원 사회안전학과 부산해양경찰서 방문 기념촬영 모습

정영진 서장은 ""해양 재난 전문가 양성을 위해 서로 정보를 공유하고, 나아가 해양 재난의 대비단계부터 대응단계까지 체계적인 시스템을 갖출 수 있도록 상호 협력해 나가길 바란다""고 말했다."
"지드래곤, 마약 같은 소리 따윈 집어 치워 오늘 출석은 삐딱하게 [주간 샷샷샷...","이번 주 눈길 끌었던 연예 현장의 비하인드 샷 대방출!





viewer 경찰의 우려와 달리 서 앞은 한산했다

viewer 숨막히는 대치 상황

viewer 여유로운 하차

< 저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지 >

마약 투약 혐의를 받는 가수 지드래곤의 경찰 출석 현장이 큰 화제를 모았다.지드래곤은 지난 6일 마약류 관리에 의한 법률 위반 혐의로 인천경찰청 광역수사대 마약범죄수사계에 자진출석했다.경찰은 이날 만일의 상황을 대비해 기동대 1개 중대 소속 경찰관 70명가량을 인천 논현경찰서에 배치하는 등 안전에 만전을 기했다.지드래곤은 B사 차를 타고 도착했다. 차 문이 열리기 직전은 마치 폭풍 전야와도 같았다. 취재진과의 눈치 싸움 끝, 차 문이 열리는 순간 플래시 세례가 이어졌다.하지만 천하의 지드래곤이라도 경찰서 출석은 긴장이 됐던 건지 스트레칭을 하며 포토 라인 앞으로 이동했다.포토 라인에 선 지드래곤은 취재진의 질문에 응하며 여유로운 미소를 지었다. 취재진의 서울 강남에 있는 유흥업소에 출입한 적 있느냐는 물음에는 ""두고 봐야죠""라며 썩소, 일명 썩은 미소 표정을 짓기도 했다.그러나 지드래곤은 취재진의 질문에 대답을 하면서도 손을 털거나 팔을 주무르는 등 산만하게 몸을 움직였다. 시선은 불안정하고 몸을 가만히 두지 못했다. 이를 두고 일각에서는 마약 부작용이 아니냐는 의문이 제기돼기도 했다.한편 인천경찰청 마약범죄수사계는 지드래곤을 마약류 관리에 의한 법률 위반 혐의로 불구속 입건했다. 이에 지드래곤 측은 혐의를 강력 부인하며 지난 6일 피의자 신분으로 자진 출석해 4시간가량 조사를 받았다. 이날 진행된 간이검사 시약 결과는 음성으로 나왔다. 그러나 경찰은 정확한 마약 투약 여부를 확인하기 위해 정밀 감정을 진행할 예정이다."
"성산구 중앙동, 대한민국 범죄예방대상 경찰청장상 수상","[경남=뉴스프리존]최근내 기자= 창원특례시 성산구 중앙동은 10일 서울에서 개최된 ‘제8회 대한민국 범죄예방 대상’ 시상식에서 치안거버넌스 부문 경찰청장상을 수상했다고 밝혔다.

경찰청과 중앙일보가 공동 주최하는 대한민국 범죄예방대상은 매년 지역 안전을 위해 적극적으로 활동하는 공공기관, 사회단체, 기업 등 사회 각계각층의 우수사례를 선정∙시상하고 있다.

창원특례시 성산구 문종주 중앙동장이 ‘제8회 대한민국 범죄예방 대상’ 시상식에서 치안거버넌스 부문 경찰청장상을 수상하고 있다.(사진=창원시)

이번 공모에서 중앙동은 창원중부경찰서, 자율방범대 등 기관과 시민이 유기적인 협력체계를 구축하고 주택가 치안과 환경개선을 위해 노력한 점을 높이 평가받았다.

중앙동은 최근 관심이 높아지고 있는 공원 내 범죄예방과 골목길 치안환경 개선을 위해 동과 창원중부경찰서가 협력해 CCTV, 로고젝트, LED벽화, 벽부등 등을 설치해 도심미관 개선은 물론 시민이 안심하고 거닐 수 있는 정주여건 조성에 기여하고 있다.

또한 지역 내 장기간 방치돼, 범죄발생의 우려가 있는 폐유치원 주변 환경 개선을 위해 관계기관 회의를 개최하고 야간조명 보완과 침입방지 시설 설치 등 범죄예방과 주민불안 해소를 위해 노력했다.

아울러 동네주민으로 구성된 우리동네 한바퀴 지킴이단과 자율방범대 등 자생단체와 순찰활동을 전개하는 등 안전하고 살기 좋은 지역사회를 만들기 위해 다양한 활동을 펼쳐 나가고 있다.

문종주 중앙동장은 “이번 수상을 계기로 유관기관과의 협력관계를 더욱 강화해 안전하고 쾌적한 정주여건을 조성하고 살기 좋은 중앙동을 만드는데 최선을 다하겠다”고 말했다."
