제목,기사 내용
"단양군, 내년 3월까지 '도로제설 대책기간' 설정","▲ 지난 17일 김문근 군수(가운데)가 도로관리 전진기지에서 제설장비를 살펴보고 있다. 사진=단양군제공

충북 단양군은 지난 17일 도로관리 전진기지에서 겨울철 도로제설작업 발대식을 갖고 비상근무 체제에 돌입했다.

군은 기후변화로 인한 기습적인 폭설과 한파 발생에 따라 지난 15일부터 내년 3월 15일까지 겨울철 도로제설 대책기간을 정하고 상황실 운영한다.

상황실에서는 강설 시 충주국토관리사무소, 도로관리사업소충주시소, 경찰서, 소방서 등 관계 기관과 협력체계를 구축해 즉각 대응에 나선다.

제설 구간은 군도 14개 노선 134km, 농어촌도로 95개 노선 107km, 도시계획도로 20km 등 모두 11개 노선 261km다.

군은 제설작업 사업비 6억8000만원을 확보하고 제설인원 25명(도로 보수원 7명, 제설 장비 운전원 18명)과 장비 152대(자체 장비 2대, 임차 장비 17개, 읍·면별 자원봉사자 활용 소형제설기 133대)를 확보했다.

염화칼슘 85t, 제설제 513t, 염수 152t 등을 확보해 빈틈없는 제설에 대비한다.

김문근 군수는 “겨울철 철저한 제설 대책과 대설·한파 사전대비책을 마련해 주민과 관광객 안전에 최선을 다하라”면서 “내 집 내 점포 앞 눈 치우기에 적극적인 동참을 바란다”고 당부했다. /단양=목성균기자"
압송 중 피의자 도주…경찰차 안에서 풀어준 수갑이 화근,"1김현정 ""코 보정물 빼고 선해져…돈 떼이고 목사와 결혼"""
"경기북부경찰, 20일부터 연말연시 음주운전 집중단속","음주운전단속하는 경찰관들

경기북부경찰청(청장 김도형)은 연말연시 잦은 모임과 술자리가 음주운전으로 이어지는 분위기를 차단하기 위해 오는 20일부터 내년 1월31일까지 73일간 음주운전 단속을 강화할 방침이라고 18일 밝혔다.음주운전 집중단속 단속 기간 동안 도경찰청 주관 13개 경찰서 일제 음주운전 단속은 월 2회 이상, 경찰서 상시 음주운전 단속은 일 1회 이상 주·야 불문 불시에 실시한다.단속방법은 경찰서 간 연계된 도로에서 시간차를 둔 음주운전 단속을 병행 실시할 예정이다.경찰서 간 연계된 도로의 시간차 단속은 특정 시간대 일제 단속하는 방법에 비해 음주운전 단속현장 노출시간을 늘린다. 이는 동일한 인력과 노력으로도 음주운전 단속 예방의 시간적 공간적 범위를 확대시키는 효과가 있다.경찰 관계자는 ""음주운전 교통사고 예방을 위해 단속 외에도 홍보를 병행하는 등 다각적인 안전활동을 지속적으로 강구할 예정""이라며 ""음주운전 근절을 위해서는 국민적 관심과 노력이 무엇보다 중요한 만큼 연말연시 모임에는 대중교통을 이용하는 등 음주운전 근절에 적극적으로 협조해달라""고 당부했다.daidaloz@news1.kr"
"경찰, SPC 샤니 끼임 사고 관련 대표이사 검찰 송치","SPC 계열사인 샤니 제빵공장에서 발생한 근로자 사망 사고와 관련해 경찰이 회사 대표이사를 입건해 검찰에 송치했습니다.

경기 성남중원경찰서는 업무상 과실치사 혐의로 이강섭 샤니 대표이사 등 7명을 불구속 입건해 검찰에 넘겼습니다.

지난 8월 성남시 중원구 소재 샤니 제빵공장에서 근로자 55살 A씨가 반죽 기계에 끼인 사고와 관련해 안전 의무를 다하지 않은 혐의입니다.

경찰은 공장의 안전보건 관리 총괄 책임자이자 결재권자인 이 대표에게 이번 사고의 책임이 인정된다고 보고 송치 대상에 포함했습니다."
"경찰 ""샤니 50대 노동자 끼임 사망사고, 이강섭 대표이사도 송치""","



SPC 계열사인 성남 샤니 제빵공장에서 노동자가 기계에 끼여 숨진 사고와 관련해 경찰이 이강섭 샤니 대표이사까지 형사 책임이 있다고 보고 사건을 검찰에 넘겼다.



성남중원경찰서는 18일 이 대표이사를 비롯한 관계자 7명을 업무상 과실치사 혐의로 검찰에 불구속 송치했다고 밝혔다. 이들은 지난 8월 8일 오전 12시41분께 성남시 샤니 제빵공장에서 작업 중이던 노동자 A(55·여)씨가 반죽 기계에 끼여 숨진 사고와 관련해 안전 의무를 다하지 않은 혐의다. A씨는 심정지 상태로 병원으로 옮겨져 치료를 받았으나 입원 이틀 만에 끝내 숨졌다.



A씨는 2인 1조로 원형 통에 담긴 반죽을 리프트 기계로 올려 다른 반죽 통으로 옮기는 작업을 하던 중 사고를 당했다. 경찰 수사 결과 샤니 측은 업무 효율을 높이기 위해 리프트 기계 설비를 일부 변경하는 과정에서 필수로 거쳐야 하는 유해 위험성 평가를 하지 않은 것으로 드러났다. 사고 당시 반죽 기계에서 경보음도 고장나 울리지 않았던 것으로 파악됐다.







경찰은 샤니의 이 대표이사가 안전보건 관리 총괄 책임자이자 결재권자로서 책임이 있다고 보고 송치 대상에 포함했다. 이 대표를 포함해 공장장, 라인·파트장 등 모두 7명이 검찰로 넘겨졌다. 고용노동부 역시 샤니 제빵공장을 상대로 중대재해처벌법 위반 여부에 대해 조사하고 있다. 샤니 제빵공장은 상시 근로자가 50인 이상이어서 중처법 적용 대상이다."
"경찰, 성남 샤니공장 근로자 사망 관련 대표이사 송치","업무상 과실치사 혐의로 이강섭 대표 등 7명 불구속 상태로

▲ 경기 성남시 중원구 상대원동 SPC 계열 샤니 제빵공장. 뉴스1

경기 성남시 중원구 상대원동 SPC 계열 샤니 제빵공장에서 발생한 끼임 사고로 근로자가 사망한 사고를 수사한 경찰이 회사 대표이사까지 형사 책임이 있다고 보고 입건해 검찰에 넘긴 것으로 확인됐다.경기 성남중원경찰서는 업무상 과실치사 혐의로 이강섭 샤니 대표이사 등 7명을 불구속 입건해 검찰에 송치했다고 18일 밝혔다.이들은 지난 8월 8일 낮 12시 41분 성남 샤니 제빵공장에서 근로자 A(55·여) 씨가 반죽 기계에 끼인 사고와 관련, 안전 의무를 다하지 않은 혐의를 받고 있다.A씨는 심정지 상태로 병원에 옮겨져 치료받았지만, 이틀 뒤인 같은 달 10일 낮 12시 30분 숨졌다.A씨는 2인 1조로 원형 스테인리스 통에 담긴 반죽을 리프트 기계로 올려 다른 반죽 통으로 옮기는 작업을 하던 중 사고를 당했다.경찰 수사 결과 샤니 제빵공장 측은 업무 효율을 높이기 위해 리프트 기계에 대한 설비를 일부 변경하면서도 이런 시설 변경에 따라 반드시 거쳐야 하는 유해 위험성 평가를 하지 않은 것으로 드러났다.경찰은 샤니 제빵공장의 안전보건 관리 총괄 책임자이자 결재권자인 이 대표에게 이번 사고의 책임이 인정된다고 보고 검찰 송치 대상에 포함했다.사고 당시 반죽 기계에서 경보음도 고장으로 인해 울리지 않은 것으로 파악됐는데, 유해 위험성 평가 등의 조처를 평소 꼼꼼히 했다면 사고를 예방할 수 있었으리란 게 경찰의 설명이다.지난달 12일 국회 환경노동위원회의 고용노동부 국정감사에 증인으로 출석한 이 대표는 “회사에서 일어나는 모든 안전사고에 대한 책임은 최종적으로 대표이사인 저에게 있다”라며 “미흡한 점이 있었던 것 같아 죄송하다”고 사과한 바 있다.경찰은 이 대표를 비롯해 공장장, 라인·파트장 등 7명을 검찰에 넘겼다.고용노동부 역시 샤니 제빵공장을 상대로 중대재해처벌법 위반 여부에 대해 조사하고 있다. 샤니 제빵공장은 상시 근로자가 50인 이상이어서 중처법 적용 대상이다.신동원 기자"
"당진시, 아동학대 예방의 날 기념행사 개최","충남 당진시는 아동학대 예방의 날을 맞아 지난 16일 당진시청 중회의실에서 아동학대 예방의 날 기념행사를 개최했다.

충남 당진시는 아동학대 예방의 날을 맞아 지난 16일 당진시청 중회의실에서 아동학대 예방의 날 기념행사를 개최했다.

올해로 세 번째를 맞은 아동학대 예방의 날 기념행사에는 오성환 당진시장과 당진경찰서, 당진교육지원청, 충남중부아동보호전문기관 등 관계기관 담당자와 시민 50여 명이 참석했다.

이번 행사는 △아동학대 사업 실적 보고 △유공자 표창 △학대 피해 아동 후원금 전달 △선언문 낭독 △예방 퍼포먼스 순으로 이어졌다.

2021년 학대 피해 아동의 적극적인 보호를 위해 시와 업무협약을 체결한 현대제철과 당진시복지재단이 각각 1,000만 원, 500만 원을 피해 아동 의료비와 생활 유지 후원금으로 전달했다.

오성환 시장은 “아동이 안전한 행복 도시, 당진시를 만들기 위해 여러 기관들이 한마음으로 노력해줘서 감사하다. 아동학대가 없는 안전한 도시를 만들기 위해 최선을 다하겠다”고 밝혔다.

한편 시는 20일부터 24일까지를 아동학대 예방 주간으로 운영한다. 또한 사회적 인식 개선을 위해 △쇼핑카트 아동학대 예방 홍보물 부착(석문 하나로마트) △아동학대 인식개선 캠페인 운영(서정초, 합덕전통시장) △아동학대 예방 홍보부스 운영(석문 하나로마트 앞)과 같은 활동을 할 예정이다."
"경찰, '샤니 끼임 사망' 대표이사 등 7명 송치","브라우저가 video 태그를 지원하지 않습니다.

죄송하지만 다른 브라우저를 사용하여 주십시오. 닫기

경찰, '샤니 끼임 사망' 대표이사 등 7명 송치샤니 제빵공장에서 작업중인 노동자가 기계에 끼여 숨진 사고를 수사한 경찰이 대표이사도 형사 책임이 있다고 보고 검찰에 넘겼습니다.경기 성남중원경찰서는 업무상 과실치사 혐의로 이강섭 샤니 대표이사 등 7명을 검찰에 불구속 송치했습니다.이들은 지난 8월 경기도 성남시에 있는 샤니 제빵공장에서 50대 직원이 반죽 기계에 끼인 사고와 관련해 안전 의무를 다하지 않은 혐의를 받습니다.경찰은 안전보건 관리 총괄 책임자이자 결재권자인 이 대표에게 사고 책임이 인정된다고 판단했습니다.방준혁 기자 (bang@yna.co.kr)#SPC #샤니 #끼임사고연합뉴스TV 기사문의 및 제보 : 카톡/라인 jebo23(끝)"
SPC 샤니 제빵공장 근로자 사망 관련 대표이사 등 7명 송치,"경찰 조사 결과, 기계 설비 변경 때 유해 위험성 평가 안 거쳐

검찰이 파리바게뜨 제빵기사에 대한 부당 노동행위 관련 SPC그룹의 관여 여부를 확인하기 위해 지난달 30일 압수수색에 나섰다. 사진은 이날 압수수색 진행 중인 서울 서초구 SPC본사. 연합뉴스

SPC 계열사인 샤니 제빵공장에서 발생한 끼임사고로 근로자가 사망한 사고를 수사하고 있는 경찰이 회사 대표이사까지 형사 책임이 있다고 보고 입건해 검찰에 넘긴 것으로 확인됐다.

성남중원경찰서는 업무 과실치사 혐의로 이강섭 샤니 대표이사 등 7명을 불구속 입건해 검찰에 송치했다고 18일 밝혔다.

이들은 지난 8월 8일 낮 12시 41분쯤 성남시 중원구 샤니 제빵공장에서 근로자 A(55·여)가 반죽 기계에 끼인 사고와 관련해 안전 의무를 다하지 않은 혐의를 받고 있다.

A씨는 심정지 상태로 병원에 옮겨져 치료를 받았으나 이틀 뒤인 8월 10일 낮 12시 30분쯤 숨졌다.

A씨는 2인 1조로 원형 스테인리스 통에 담긴 반죽을 리프트 기계로 올려 다른 반죽 통으로 옮기는 작업을 하던 과정에서 사고를 당한 것으로 알려졌다.

경찰 조사 결과 샤니 제빵공장 측은 업무 효율을 높이기 위해 리프트 기계에 대한 설비를 일부 변경하면서도 이런 시설 변경에 따라 반드시 거쳐야 하는 유해 위험성 평가를 하지 않은 것으로 드러났다.

경찰은 샤니 제빵공장의 안전·보건관리 총괄 책임자이자 결재권자인 이 대표에게 이번 사고의 책임이 인정된다고 보고 검찰 송치 대상에 포함했다.

사고 당시 반죽 기계에서 경보음도 고장으로 인해 울리지 않은 것으로 파악됐는데 유해 위험성 평가 등의 조처를 평소 꼼꼼히 했다면 사고 예방이 가능했을 거란 게 경찰의 설명이다.

경찰은 이 대표를 비롯해 공장장, 라인·파트장 등 7명을 검찰에 넘겼다.

한편 고용노동부도 샤니 제빵공장을 상대로 중대재해처벌법 위반 여부에 대해 조사하고 있다.

샤니 제빵공장은 상시 근로자가 50인 이상이어서 중대재해처벌법 적용 대상이다.

중대재해처벌법은 중대한 인명 피해를 유발한 산업재해가 발생하면 사업주를 처벌할 수 있도록 한 법이다. 현재 중대재해처벌법은 50인 이상 사업장에 적용되고 있고 내년부턴 50인 미만 사업장에도 시행된다."
"서울시여성가족재단, '세이프 서울, 마이 세이프 소울!' 개최","11월 17일~12월 6일, '안전 서울, 나의 안심 소울' 대방동 서울여성플라자 1층 전시회 등 다양한 프로그램 진행

아동학대 예방 및 대응을 위한 토크 콘서트

디지털성범죄·스토킹 범죄예방 교육 및 워크숍

세이프 서울, 마이 세이프 소울 행사 포스터 0 '세이프 서울, 마이 세이프 소울(안전 서울, 나의 안심 소울)' 행사 웹포스터/서울시

서울시여성가족재단은 오는 19일 아동학대 예방의 날과 여성폭력추방주간(11월25일~12월1일)을 맞아 안전한 서울 만들기 '세이프 서울, 마이 세이프 소울!'을 주제로 행사를 개최한다.이번 행사는 폭력 없는 안전한 서울을 조성하기 위해 △아동학대 예방 및 대응을 위한 토크 콘서트와 전시 △디지털성범죄·스토킹 범죄예방 교육 및 워크숍 등 다양한 프로그램이 진행된다.◇ 아동학대 예방, 상호존중 양육 환경 조성재단은 먼저 이달 17일부터 다음달 6일까지 대방동 서울여성플라자 1층에서 아동학대 정보와 신고방법, 아동의 권리 존중 인식 캠페인 등으로 구성된 '세이프 서울, 마이 세이프 소울(Safe Seoul, My Safe Soul)' 전시회를 진행한다.21일에는 서울시 아이돌보미, 아이돌봄 서비스 제공기관 종사자 150여 명이 참석하는 '서울시 아이돌봄 지원사업에 대한 운영사례 공유회'가 열린다. 이날 행사에서는 아이, 양육자, 아이돌보미 등 상호 존중하는 양육 환경을 조성하고자 운영사례를 발표하고, 아이돌봄 유공자 15명을 선정해 서울시장 표창을 수여할 예정이다.재단은 또 29일 서울시 아동학대 대응인력을 포함한 서울시민 대상 '서울시 아동학대 대응 현장의 변화와 전망'이라는 주제로 토크 콘서트를 연다. 아동학대 조사 공공화 시행 이후 서울시 아동학대 대응체계 진단과 지속성장 방안에 대해 논의하고 경찰서, 아동보호전문기관 등 서울시 아동학대 대응 현장의 이야기를 공유해 내년 정책 방향을 모색한다.◇ 디지털성범죄, 스토킹 피해 예방 및 대응디지털성범죄 피해의 저연령화와 신종·변종 범죄 발생 증가 등을 예방하기 위한 '폭력 없는 안전도시 서울'을 주제로 한 전시회도 서울여성플라자 1층에서 오는 21일부터 30일까지 개최된다.또 21일과 27일에는 서울시·자치구 공무원, 아동·청소년, 양육자 등을 대상으로 하는 '스토킹 및 디지털성범죄 예방 교육'이 양일에 걸쳐 진행 될 예정이다.이밖에도 재단은 27일 '탈출 디지털폭력! 출발 온라인 그린존!'을 주제로 보드게임과 방 탈출 게임을 진행하며 아동과 보호자가 함께 디지털성범죄에 대한 경각심을 일깨우고 예방할 수 있는 프로그램과 28일 서울여성플라자 1층 아트홀 봄에서 디지털성범죄를 겪은 모녀의 치유 과정을 그린 영화 '경아의 딸' 상영회를 마련했다. '경아의 딸' 연출을 맡은 김정은 감독이 전하는 '불법촬영물 피해자가 겪는 사회적 시선'에 대해 들어보는 시간도 함께 진행된다.2023년 아동학대 예방의 날과 여성폭력추방주간을 맞아 진행되는 각각의 행사 관련 자세한 내용은 서울시여성가족재단 누리집에서 확인할 수 있다.정연정 재단 대표이사는 ""안전은 시민의 안녕과 직결되는 중요한 부분인 만큼, 누구나 안전한 서울을 만들기 위하여 '세이프 서울, 마이 세이프 소울!'을 주제로 이번 행사를 마련했다""며 ""아동과 여성, 시민이 안전한 서울이 될 수 있도록 구체적인 방안을 모색하고 체험과 놀이를 통해 학대와 범죄를 예방할 수 있는 시간이 되기를 바란다""고 말했다."
